Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.700000	0.500000	0	1	1	n	0.35842688	0.07078909	0.81570554	0.34218441
0.700000	0.500000	0	4	all	n	0.34818813	0.09017144	0.77276416	0.38019280
0.700000	0.500000	0	5	all	n	0.34506030	0.09334853	0.76607870	0.38793761
0.700000	0.500000	0	3	one	t	0.38847583	0.08725083	0.88403487	0.36812056
0.700000	0.500000	0	3	50	t	0.38510630	0.08798883	0.88346260	0.36829687
0.700000	0.500000	0	3	75	n	0.34062937	0.08780408	0.77907111	0.36825279
0.700000	0.500000	0	2	all	n	0.35239743	0.08292170	0.78992557	0.36187701
0.700000	0.500000	0	5	75	n	0.34790718	0.09315476	0.76622585	0.38789093
0.700000	0.500000	0	4	one	t	0.39752263	0.08927652	0.88149891	0.37986611
0.700000	0.500000	0	2	75	t	0.39376972	0.08279923	0.88969923	0.36185626
